,0
0,221879.53913965443
1,121256.58814086068
2,174878.66362866893
3,273964.88773250056
4,194010.052684772
5,196984.31051007222
6,231337.84055429007
7,212367.54030923764
8,257752.77869131858
9,194903.20539278426
10,171585.29102421328
11,180226.52681616298
12,162536.31928249187
13,201647.62042327982
14,243507.44033258437
15,481524.91214113904
16,203315.8535003101
17,385250.5782304219
18,106597.79626381339
19,222297.78589772322
20,209028.06251277053
21,177274.65626174305
22,214696.3084003102
23,159160.96670131112
24,162047.28896439087
25,141910.72834056438
26,125725.1424790484
27,96585.84750943005
28,176368.3083250405
29,92094.09768615564
30,97011.51075719192
31,94628.49916030692
32,143006.93660928408
33,147826.62705999694
34,107191.77869892544
35,139724.869577031
36,373124.11223689
37,298099.04784924886
38,401553.33721618465
39,258525.15563347278
40,251358.14050471326
41,327323.27046386304
42,287401.16084805544
43,214574.00602842917
44,473072.9072277151
45,217442.47564598842
46,480866.8237771735
47,309077.2993061204
48,315713.65549135196
49,205312.120591237
50,175161.42426137708
51,179025.3821555751
52,160797.17515685558
53,184255.51628299814
54,180229.0520251626
55,222152.19201931398
56,194098.69520533385
57,171844.4406307629
58,214684.0841110332
59,340405.89265207073
60,330975.71889788203
61,261407.8344281802
62,346252.5609534697
63,310823.22312705446
64,233732.00751234792
65,386488.46245873475
66,236547.5092609031
67,202598.9960509889
68,227090.39114053803
69,260110.13313534282
70,236756.41293808114
71,259236.90645385697
72,226845.7753912846
73,193233.31436203254
74,227991.2454289387
75,104694.8688500643
76,194958.97710506187
77,99517.42372093376
78,99082.16317446259
79,203341.2755280878
80,143138.02267280972
81,167878.21968874792
82,95243.88105734476
83,119709.3642423529
84,156385.33895114955
85,134540.43778980535
86,109420.24293759528
87,123164.05800397672
88,145433.98737657093
89,201063.7583456103
90,240231.77948012564
91,308323.6078375253
92,291418.47045243357
93,238310.8527987373
94,181692.63352679496
95,163839.38115559705
96,149790.06449921516
97,157692.94735543878
98,150033.2740414523
99,275836.0265602259
100,165062.93688875955
101,193129.1026216075
102,158608.38397889203
103,136483.85728929157
104,282836.0246960861
105,239612.9685768783
106,164935.94185437803
107,197788.50992514973
108,175905.22400253938
109,226826.59379139624
110,191015.52272213815
111,255139.38516721403
112,210701.60698755985
113,195027.82476325342
114,183214.59014908678
115,179345.8913676388
116,156825.1992023701
117,145156.56779055402
118,151413.73300572927
119,122249.74381288342
120,153220.58871323173
121,190342.45574273635
122,145505.1255473396
123,165434.45824246117
124,149622.6782600418
125,156592.2799131351
126,138588.7191056517
127,219845.72740453988
128,151485.00139822933
129,143061.98335161677
130,68884.06937327873
131,110962.98051732151
132,163686.4764515375
133,135529.89484821467
134,185759.63048675685
135,161001.5754211323
136,250467.04448896117
137,215712.64110018004
138,121086.62117312485
139,223029.47437022193
140,125721.00604615346
141,184233.63230348355
142,146028.32007605318
143,132646.13461228355
144,128284.23640004631
145,157799.67089898925
146,131097.21896307555
147,194839.32201140263
148,120956.02744070877
149,120269.7699901517
150,119725.5649789034
151,104881.20078273743
152,130186.6387208158
153,112439.97027536365
154,93896.79612322443
155,140826.57892264775
156,129870.22413055494
157,115947.00095209159
158,131185.17464797315
159,160022.28078004223
160,245894.49614360812
161,128700.45311031704
162,164820.72102282642
163,128614.16133552654
164,122369.53921304888
165,149073.44423777662
166,152859.62282454036
167,201633.582003325
168,164806.5402373745
169,117600.46245209122
170,85136.2459013394
171,97106.74971862813
172,98280.37792832052
173,159656.5546766812
174,120031.07155667525
175,69267.26905230453
176,119450.08580472095
177,125343.07313684552
178,124280.59984941821
179,155358.60996455443
180,90213.52524162809
181,56028.625396165466
182,101604.69122020826
183,160006.86283105362
184,123002.18737616843
185,217124.88254532285
186,91215.10092804243
187,149674.51376480647
188,123296.45579286669
189,125242.80088130085
190,137684.5278742626
191,147565.35579950013
192,191488.02397889365
193,88732.35693547517
194,117352.75272442451
195,133783.35845628093
196,135005.45429024604
197,144495.68164146008
198,123217.56621851536
199,140413.44651116742
200,108561.1199402845
201,129507.08356472086
202,148365.12771596975
203,153488.32150269859
204,118448.45124691748
205,92400.23740283954
206,62641.30831887219
207,121981.95487957983
208,236553.5382350011
209,171882.8991102868
210,107499.3404543291
211,117119.01803475445
212,98139.09348547948
213,90348.79971026059
214,120068.15432000105
215,89044.68000497144
216,137039.64003511632
217,140830.68919037312
218,131068.29103791321
219,167517.27637727396
220,105303.010880696
221,153503.2218206726
222,126321.02384776133
223,152746.74989009323
224,126762.76839579319
225,170162.06343078933
226,160461.75748476697
227,143862.7329598401
228,290949.0412679728
229,238846.69180549955
230,78330.67867878245
231,128230.23088992108
232,232032.54230292645
233,223445.6572862092
234,136315.28835011928
235,68960.5577216348
236,131928.17340208858
237,138903.18809826128
238,112004.9569988492
239,151972.12792109087
240,159407.56247641417
241,277822.74461103417
242,112268.30064259935
243,91838.52905728869
244,173287.84133569337
245,245657.55842812633
246,227289.09930385932
247,224332.97895280452
248,164684.54853197292
249,236227.3040649987
250,197644.08466123993
251,179830.7414702287
252,181375.05763686364
253,325293.90818154684
254,142162.6939021655
255,153480.34631111711
256,168305.25249970471
257,186450.29950819898
258,187082.3631898255
259,153912.77333109552
260,151480.7547478797
261,137468.01222723987
262,132684.91074901965
263,288295.0723934918
264,255511.85894152205
265,221750.73569133296
266,217300.10557581298
267,210566.98789358218
268,132605.3796246391
269,130588.18952469264
270,247542.702271952
271,209142.39761432947
272,179028.4759331881
273,77756.22118308122
274,94013.02286891514
275,108317.27061761323
276,157578.1481665917
277,105503.7202376563
278,126217.96727748822
279,126244.5747229582
280,98663.43678866565
281,140204.90850871624
282,117708.78465096702
283,62707.23633416889
284,148567.29565426556
285,120789.02029971156
286,116906.78424272216
287,59101.419589041136
288,158508.7252920281
289,115193.12464456497
290,151704.36901206875
291,110417.89405694252
292,185554.67789600245
293,229392.49710154952
294,188612.49046230406
295,278078.4535517796
296,309552.9710042848
297,200161.53839246213
298,194833.39856119512
299,176744.65145773406
300,276027.04809439613
301,125707.04382391274
302,74216.59787458045
303,110574.49831042223
304,70959.09647564904
305,109202.19950806031
306,96442.38194614908
307,70055.13862930945
308,269546.9654818015
309,237450.14637182356
310,165574.45422447711
311,204420.8346533171
312,147700.2808652531
313,163811.64261979455
314,152832.6548089338
315,197425.95104522118
316,186089.30030475097
317,156102.07538220752
318,264418.949496841
319,215875.45264751714
320,218657.97774062474
321,343171.1403753171
322,129778.31516378984
323,189335.93662150286
324,124221.29484438566
325,169484.49703840946
326,83624.7587114821
327,129041.64453761806
328,62794.71528338774
329,93049.12254206302
330,88747.98292214007
331,71920.05102604613
332,86676.04532075407
333,127551.56315501338
334,147358.91544583905
335,151071.74017388464
336,158625.53953567735
337,136989.85218512232
338,151408.86767431872
339,273367.85491837794
340,204266.69956237933
341,115600.20927350083
342,171611.32652197673
343,350547.12560063205
344,189698.06035440596
345,278069.9189862211
346,172387.44966991662
347,367495.6323571775
348,157181.4910120086
349,361167.53596698516
350,272179.9986610408
351,233491.50909369875
352,250886.38674972652
353,165692.53775135858
354,192165.03869725124
355,185260.00071124226
356,176550.97614065587
357,190308.16477070996
358,173085.11501650128
359,148612.96221819182
360,166862.0629997769
361,155652.049008246
362,161228.3802208036
363,231363.55168949824
364,182565.2898257403
365,216901.31006078358
366,463668.231501032
367,332328.33978491253
368,278929.84160043264
369,202287.72541345662
370,252237.45213129272
371,171971.36813357184
372,170080.53119299532
373,213912.60460111825
374,168788.24237643706
375,178566.67932416734
376,242154.48553449672
377,198954.66394112725
378,183327.48715848953
